team,lat,long
Atlanta Hawks,33.75718253,-84.39627796
Boston Celtics,42.36628117,-71.06226593
Brooklyn Nets,40.68265,-73.974689
Charlotte Bobcats,35.224519,-80.841053
Chicago Bulls,41.88058924,-87.67414927
Cleveland Cavaliers,41.496667,-81.688056
Dallas Mavericks,32.79042005,-96.8102923
Denver Nuggets,39.74856962,-105.007638
Detroit Pistons,42.696944,-83.245556
Golden State Warriors,37.750267,-122.202853
Houston Rockets,29.750833,-95.362222
Indiana Pacers,39.763889,-86.155556
Los Angeles Clippers,34.04303866,-118.2671142
Los Angeles Lakers,34.04303866,-118.2671142
Memphis Grizzlies,35.138333,-90.050556
Miami Heat,25.781389,-80.187778
Milwaukee Bucks,43.043619,-87.916833
Minnesota Timberwolves,44.979444,-93.276111
New Orleans Pelicans,29.94895,-90.082178
New York Knicks,40.75048172,-73.99355024
Oklahoma City Thunder,35.463333,-97.515
Orlando Magic,28.539167,-81.383611
Philadelphia 76ers,39.90112134,-75.17172664
Phoenix Suns,33.445747,-112.071269
Portland Trail Blazers,45.531389,-122.666944
Sacramento Kings,38.64907218,-121.5180051
San Antonio Spurs,29.426944,-98.4375
Toronto Raptors,43.64329216,-79.37907457
Utah Jazz,40.768306,-111.901203
Washington Wizards,38.8980074,-77.02102393